Designator,Mid X,Mid Y,Rotation,Layer
D_125,60.8628,-58.8949,90.0,bottom
D_126,255.4253,-77.9449,90.0,bottom
D_127,114.93155,-96.9949,90.0,bottom
D_150,257.0128,-58.8949,90.0,bottom
D_151,60.8628,-77.9449,90.0,bottom
D_152,91.11905,-96.9324,90.0,bottom
D_175,257.80655,-39.7824,90.0,bottom
D_176,62.54405,-96.9324,90.0,bottom
D_2,193.5128,-96.9949,90.0,bottom
D_225,153.8253,-96.9949,90.0,bottom
D_A1,81.59405,-58.8949,90.0,bottom
D_B1,157.79405,-39.8449,90.0,bottom
D_C1,118.9003,-77.9449,90.0,bottom
D_COMMA1,214.94405,-77.9449,90.0,bottom
D_D1,138.74405,-77.9449,90.0,bottom
D_DOT1,233.99405,-77.9449,90.0,bottom
D_E1,214.94405,-58.8949,90.0,bottom
D_F1,119.69405,-39.7824,90.0,bottom
D_FREE1,272.09405,-96.9949,90.0,bottom
D_G1,157.79405,-58.8949,90.0,bottom
D_H1,194.30655,-77.9449,90.0,bottom
D_I1,233.99405,-58.8949,90.0,bottom
D_J1,176.84405,-39.8449,90.0,bottom
D_K1,176.84405,-77.9449,90.0,bottom
D_L1,195.89405,-39.7824,90.0,bottom
D_M1,176.84405,-58.8949,90.0,bottom
D_N1,195.89405,-58.8949,90.0,bottom
D_O1,253.04405,-58.8949,90.0,bottom
D_P1,138.74405,-39.7824,90.0,bottom
D_PLUS1,233.2003,-96.9949,90.0,bottom
D_Q1,82.3878,-43.0199,90.0,bottom
D_R1,100.64405,-58.8949,90.0,bottom
D_S1,119.69405,-58.8949,90.0,bottom
D_SEMIC1,253.04405,-39.8449,90.0,bottom
D_SLASH1,252.2503,-77.8824,90.0,bottom
D_SPACE1,214.1503,-96.9949,90.0,bottom
D_T1,138.74405,-58.8949,90.0,bottom
D_TAB1,80.00655,-43.0199,90.0,bottom
D_U1,214.94405,-39.8449,90.0,bottom
D_V1,157.79405,-77.9449,90.0,bottom
D_W1,100.64405,-39.7824,90.0,bottom
D_X1,100.64405,-77.8824,90.0,bottom
D_Y1,233.99405,-39.8449,90.0,bottom
D_Z1,81.59405,-77.8824,90.0,bottom
D_~1,253.04405,-96.9324,90.0,bottom
K_125,51.43155,-57.3074,0.0,top
K_126,265.74405,-76.3574,0.0,top
K_127,103.81905,-95.4074,0.0,top
K_150,268.1253,-57.3074,0.0,top
K_151,49.0503,-76.3574,0.0,top
K_152,77.6253,-95.4074,0.0,top
K_175,270.50655,-38.2574,0.0,top
K_176,46.66905,-95.4074,0.0,top
K_2,177.6378,-95.4074,0.0,top
K_225,137.15655,-95.4074,0.0,top
K_A1,72.8628,-57.3074,0.0,top
K_B1,149.0628,-38.2574,0.0,top
K_C1,110.9628,-76.3574,0.0,top
K_COMMA1,206.2128,-76.3574,0.0,top
K_D1,130.0128,-76.3574,0.0,top
K_DOT1,225.2628,-76.3574,0.0,top
K_E1,206.2128,-57.3074,0.0,top
K_F1,110.9628,-38.2574,0.0,top
K_FREE1,263.3628,-95.4074,0.0,top
K_G1,149.0628,-57.3074,0.0,top
K_H1,187.1628,-76.3574,0.0,top
K_I1,225.2628,-57.3074,0.0,top
K_J1,168.1128,-38.2574,0.0,top
K_K1,168.1128,-76.3574,0.0,top
K_L1,187.1628,-38.2574,0.0,top
K_M1,168.1128,-57.3074,0.0,top
K_N1,187.1628,-57.3074,0.0,top
K_O1,244.3128,-57.3074,0.0,top
K_P1,130.0128,-38.2574,0.0,top
K_PLUS1,225.2628,-95.4074,0.0,top
K_Q1,72.8628,-38.2574,0.0,top
K_R1,91.9128,-57.3074,0.0,top
K_S1,110.9628,-57.3074,0.0,top
K_SEMIC1,244.3128,-38.2574,0.0,top
K_SLASH1,244.3128,-76.3574,0.0,top
K_SPACE1,206.2128,-95.4074,0.0,top
K_T1,130.0128,-57.3074,0.0,top
K_TAB1,53.8128,-38.2574,0.0,top
K_U1,206.2128,-38.2574,0.0,top
K_V1,149.0628,-76.3574,0.0,top
K_W1,91.9128,-38.2574,0.0,top
K_X1,91.9128,-76.3574,0.0,top
K_Y1,225.2628,-38.2574,0.0,top
K_Z1,72.8628,-76.3574,0.0,top
K_~1,244.3128,-95.4074,0.0,top
U1,61.70405,-37.856,0.0,top
